"","Age","Year","Population","CoB","Age group","Age group (condensed)"
"1","0",2015,592004,"Total (LFS)","0-4","0-14"
"2","0",2016,605128,"Total (LFS)","0-4","0-14"
"3","1",2015,680468,"Total (LFS)","0-4","0-14"
"4","1",2016,652157,"Total (LFS)","0-4","0-14"
"5","2",2015,695630,"Total (LFS)","0-4","0-14"
"6","2",2016,677548,"Total (LFS)","0-4","0-14"
"7","3",2015,759774,"Total (LFS)","0-4","0-14"
"8","3",2016,741024,"Total (LFS)","0-4","0-14"
"9","4",2015,704083,"Total (LFS)","0-4","0-14"
"10","4",2016,751251,"Total (LFS)","0-4","0-14"
"11","5",2015,715726,"Total (LFS)","5-9","0-14"
"12","5",2016,693568,"Total (LFS)","5-9","0-14"
"13","6",2015,681569,"Total (LFS)","5-9","0-14"
"14","6",2016,689910,"Total (LFS)","5-9","0-14"
"15","7",2015,677863,"Total (LFS)","5-9","0-14"
"16","7",2016,700419,"Total (LFS)","5-9","0-14"
"17","8",2015,660147,"Total (LFS)","5-9","0-14"
"18","8",2016,663978,"Total (LFS)","5-9","0-14"
"19","9",2015,612498,"Total (LFS)","5-9","0-14"
"20","9",2016,671793,"Total (LFS)","5-9","0-14"
"21","10",2015,612391,"Total (LFS)","10-14","0-14"
"22","10",2016,622378,"Total (LFS)","10-14","0-14"
"23","11",2015,604269,"Total (LFS)","10-14","0-14"
"24","11",2016,617730,"Total (LFS)","10-14","0-14"
"25","12",2015,597139,"Total (LFS)","10-14","0-14"
"26","12",2016,644118,"Total (LFS)","10-14","0-14"
"27","13",2015,589664,"Total (LFS)","10-14","0-14"
"28","13",2016,578920,"Total (LFS)","10-14","0-14"
"29","14",2015,581218,"Total (LFS)","10-14","0-14"
"30","14",2016,592326,"Total (LFS)","10-14","0-14"
"31","15",2015,593980,"Total (LFS)","15-19","15-64"
"32","15",2016,578314,"Total (LFS)","15-19","15-64"
"33","16",2015,620575,"Total (LFS)","15-19","15-64"
"34","16",2016,604178,"Total (LFS)","15-19","15-64"
"35","17",2015,620750,"Total (LFS)","15-19","15-64"
"36","17",2016,616560,"Total (LFS)","15-19","15-64"
"37","18",2015,651317,"Total (LFS)","15-19","15-64"
"38","18",2016,646926,"Total (LFS)","15-19","15-64"
"39","19",2015,648985,"Total (LFS)","15-19","15-64"
"40","19",2016,653127,"Total (LFS)","15-19","15-64"
"41","20",2015,662853,"Total (LFS)","20-24","15-64"
"42","20",2016,664236,"Total (LFS)","20-24","15-64"
"43","21",2015,689588,"Total (LFS)","20-24","15-64"
"44","21",2016,680998,"Total (LFS)","20-24","15-64"
