"","sex","year","births"
"1","person",2018,721418
"2","person",2019,726015
"3","person",2020,722845
"4","person",2021,718714
"5","person",2022,716458
"6","person",2023,716319
"7","person",2024,715874
"8","person",2025,715299
"9","person",2026,714750
"10","person",2027,714401
"11","person",2028,714800
"12","person",2029,716026
"13","person",2030,717989
"14","person",2031,720854
"15","person",2032,724642
"16","person",2033,729017
"17","person",2034,734023
"18","person",2035,739998
"19","person",2036,746802
"20","person",2037,754048
"21","person",2038,761191
"22","person",2039,767391
"23","person",2040,772616
"24","person",2041,776894
"25","person",2042,780024
"26","person",2043,781348
"27","person",2044,781571
"28","person",2045,780756
"29","person",2046,778967
"30","person",2047,776296
"31","person",2048,772914
"32","person",2049,769115
"33","person",2050,765226
"34","person",2051,761432
"35","person",2052,757867
"36","person",2053,754656
"37","person",2054,751996
"38","person",2055,750021
"39","person",2056,748723
"40","person",2057,748087
"41","person",2058,748052
"42","person",2059,748652
"43","person",2060,749882
"44","person",2061,751629
"45","person",2062,753797
"46","person",2063,756314
"47","person",2064,759131
"48","person",2065,762183
"49","person",2066,765382
"50","person",2067,768632
"51","person",2068,771846
"52","person",2069,774954
"53","person",2070,777864
"54","person",2071,780480
"55","person",2072,782757
"56","person",2073,784631
"57","person",2074,786058
"58","person",2075,787023
"59","person",2076,787533
"60","person",2077,787615
"61","person",2078,787286
"62","person",2079,786631
"63","person",2080,785699
"64","person",2081,784565
"65","person",2082,783329
"66","person",2083,782060
"67","person",2084,780850
"68","person",2085,779763
"69","person",2086,778862
"70","person",2087,778204
"71","person",2088,777822
"72","person",2089,777744
"73","person",2090,777977
"74","person",2091,778520
"75","person",2092,779359
"76","person",2093,780471
"77","person",2094,781817
"78","person",2095,783363
"79","person",2096,785067
"80","person",2097,786880
"81","person",2098,788736
"82","person",2099,790601
"83","person",2100,792439
"84","person",2101,794196
"85","person",2102,795834
"86","person",2103,797320
"87","person",2104,798635
"88","person",2105,799749
"89","person",2106,800676
"90","person",2107,801388
"91","person",2108,801910
"92","person",2109,802236
"93","person",2110,802406
"94","person",2111,802427
"95","person",2112,802338
"96","person",2113,802169
"97","person",2114,801949
"98","person",2115,801724
"99","person",2116,801512
"100","person",2117,801355
"101","male",2018,369507
"102","male",2019,371862
"103","male",2020,370237
"104","male",2021,368121
"105","male",2022,366966
"106","male",2023,366894
"107","male",2024,366667
"108","male",2025,366373
"109","male",2026,366091
"110","male",2027,365914
"111","male",2028,366117
"112","male",2029,366746
"113","male",2030,367750
"114","male",2031,369218
"115","male",2032,371158
"116","male",2033,373399
"117","male",2034,375964
"118","male",2035,379023
"119","male",2036,382509
"120","male",2037,386221
"121","male",2038,389878
"122","male",2039,393054
"123","male",2040,395731
"124","male",2041,397921
"125","male",2042,399525
"126","male",2043,400202
"127","male",2044,400317
"128","male",2045,399900
"129","male",2046,398982
"130","male",2047,397616
"131","male",2048,395883
"132","male",2049,393937
"133","male",2050,391944
"134","male",2051,390002
"135","male",2052,388176
"136","male",2053,386531
"137","male",2054,385168
"138","male",2055,384156
"139","male",2056,383493
"140","male",2057,383166
"141","male",2058,383148
"142","male",2059,383455
"143","male",2060,384085
"144","male",2061,384981
"145","male",2062,386091
"146","male",2063,387380
"147","male",2064,388824
"148","male",2065,390386
"149","male",2066,392025
"150","male",2067,393690
"151","male",2068,395336
"152","male",2069,396928
"153","male",2070,398418
"154","male",2071,399758
"155","male",2072,400925
"156","male",2073,401884
"157","male",2074,402614
"158","male",2075,403109
"159","male",2076,403371
"160","male",2077,403412
"161","male",2078,403245
"162","male",2079,402908
"163","male",2080,402431
"164","male",2081,401851
"165","male",2082,401218
"166","male",2083,400568
"167","male",2084,399948
"168","male",2085,399390
"169","male",2086,398929
"170","male",2087,398593
"171","male",2088,398396
"172","male",2089,398357
"173","male",2090,398476
"174","male",2091,398754
"175","male",2092,399184
"176","male",2093,399754
"177","male",2094,400443
"178","male",2095,401235
"179","male",2096,402108
"180","male",2097,403036
"181","male",2098,403987
"182","male",2099,404942
"183","male",2100,405882
"184","male",2101,406783
"185","male",2102,407622
"186","male",2103,408383
"187","male",2104,409057
"188","male",2105,409628
"189","male",2106,410103
"190","male",2107,410467
