"","sex","year","inflow"
"1","person",2018,611188
"2","person",2019,596593
"3","person",2020,572507
"4","person",2021,556501
"5","person",2022,540496
"6","person",2023,523992
"7","person",2024,507997
"8","person",2025,507997
"9","person",2026,507997
"10","person",2027,507997
"11","person",2028,507997
"12","person",2029,507997
"13","person",2030,507997
"14","person",2031,507997
"15","person",2032,507997
"16","person",2033,507997
"17","person",2034,507997
"18","person",2035,507997
"19","person",2036,507997
"20","person",2037,507997
"21","person",2038,507997
"22","person",2039,507997
"23","person",2040,507997
"24","person",2041,507997
"25","person",2042,507997
"26","person",2043,507997
"27","person",2044,507997
"28","person",2045,507997
"29","person",2046,507997
"30","person",2047,507997
"31","person",2048,507997
"32","person",2049,507997
"33","person",2050,507997
"34","person",2051,507997
"35","person",2052,507997
"36","person",2053,507997
"37","person",2054,507997
"38","person",2055,507997
"39","person",2056,507997
"40","person",2057,507997
"41","person",2058,507997
"42","person",2059,507997
"43","person",2060,507997
"44","person",2061,507997
"45","person",2062,507997
"46","person",2063,507997
"47","person",2064,507997
"48","person",2065,507997
"49","person",2066,507997
"50","person",2067,507997
"51","person",2068,507997
"52","person",2069,507997
"53","person",2070,507997
"54","person",2071,507997
"55","person",2072,507997
"56","person",2073,507997
"57","person",2074,507997
"58","person",2075,507997
"59","person",2076,507997
"60","person",2077,507997
"61","person",2078,507997
"62","person",2079,507997
"63","person",2080,507997
"64","person",2081,507997
"65","person",2082,507997
"66","person",2083,507997
"67","person",2084,507997
"68","person",2085,507997
"69","person",2086,507997
"70","person",2087,507997
"71","person",2088,507997
"72","person",2089,507997
"73","person",2090,507997
"74","person",2091,507997
"75","person",2092,507997
"76","person",2093,507997
"77","person",2094,507997
"78","person",2095,507997
"79","person",2096,507997
"80","person",2097,507997
"81","person",2098,507997
"82","person",2099,507997
"83","person",2100,507997
"84","person",2101,507997
"85","person",2102,507997
"86","person",2103,507997
"87","person",2104,507997
"88","person",2105,507997
"89","person",2106,507997
"90","person",2107,507997
"91","person",2108,507997
"92","person",2109,507997
"93","person",2110,507997
"94","person",2111,507997
"95","person",2112,507997
"96","person",2113,507997
"97","person",2114,507997
"98","person",2115,507997
"99","person",2116,507997
"100","person",2117,507997
"101","male",2018,326512
"102","male",2019,318870
"103","male",2020,305612
"104","male",2021,297044
"105","male",2022,288473
"106","male",2023,279624
"107","male",2024,271059
"108","male",2025,271059
"109","male",2026,271059
"110","male",2027,271059
"111","male",2028,271059
"112","male",2029,271059
"113","male",2030,271059
"114","male",2031,271059
"115","male",2032,271059
"116","male",2033,271059
"117","male",2034,271059
"118","male",2035,271059
"119","male",2036,271059
"120","male",2037,271059
"121","male",2038,271059
"122","male",2039,271059
"123","male",2040,271059
"124","male",2041,271059
"125","male",2042,271059
"126","male",2043,271059
"127","male",2044,271059
"128","male",2045,271059
"129","male",2046,271059
"130","male",2047,271059
"131","male",2048,271059
"132","male",2049,271059
"133","male",2050,271059
"134","male",2051,271059
"135","male",2052,271059
"136","male",2053,271059
"137","male",2054,271059
"138","male",2055,271059
"139","male",2056,271059
"140","male",2057,271059
"141","male",2058,271059
"142","male",2059,271059
"143","male",2060,271059
"144","male",2061,271059
"145","male",2062,271059
"146","male",2063,271059
"147","male",2064,271059
"148","male",2065,271059
"149","male",2066,271059
"150","male",2067,271059
"151","male",2068,271059
"152","male",2069,271059
"153","male",2070,271059
"154","male",2071,271059
"155","male",2072,271059
"156","male",2073,271059
"157","male",2074,271059
"158","male",2075,271059
"159","male",2076,271059
"160","male",2077,271059
"161","male",2078,271059
"162","male",2079,271059
"163","male",2080,271059
"164","male",2081,271059
"165","male",2082,271059
"166","male",2083,271059
"167","male",2084,271059
"168","male",2085,271059
"169","male",2086,271059
"170","male",2087,271059
"171","male",2088,271059
"172","male",2089,271059
"173","male",2090,271059
"174","male",2091,271059
"175","male",2092,271059
"176","male",2093,271059
"177","male",2094,271059
"178","male",2095,271059
"179","male",2096,271059
"180","male",2097,271059
"181","male",2098,271059
"182","male",2099,271059
"183","male",2100,271059
"184","male",2101,271059
"185","male",2102,271059
"186","male",2103,271059
"187","male",2104,271059
"188","male",2105,271059
"189","male",2106,271059
"190","male",2107,271059
"191","male",2108,271059
"192","male",2109,271059
"193","male",2110,271059
"194","male",2111,271059
"195","male",2112,271059
"196","male",2113,271059
"197","male",2114,271059
"198","male",2115,271059
"199","male",2116,271059
"200","male",2117,271059
"201","female",2018,284676
"202","female",2019,277723
"203","female",2020,266895
"204","female",2021,259457
"205","female",2022,252023
"206","female",2023,244368
"207","female",2024,236938
"208","female",2025,236938
"209","female",2026,236938
"210","female",2027,236938
"211","female",2028,236938
"212","female",2029,236938
"213","female",2030,236938
"214","female",2031,236938
"215","female",2032,236938
"216","female",2033,236938
"217","female",2034,236938
"218","female",2035,236938
"219","female",2036,236938
"220","female",2037,236938
"221","female",2038,236938
"222","female",2039,236938
"223","female",2040,236938
"224","female",2041,236938
"225","female",2042,236938
"226","female",2043,236938
"227","female",2044,236938
"228","female",2045,236938
"229","female",2046,236938
"230","female",2047,236938
"231","female",2048,236938
"232","female",2049,236938
"233","female",2050,236938
"234","female",2051,236938
"235","female",2052,236938
"236","female",2053,236938
"237","female",2054,236938
"238","female",2055,236938
"239","female",2056,236938
"240","female",2057,236938
"241","female",2058,236938
"242","female",2059,236938
"243","female",2060,236938
"244","female",2061,236938
"245","female",2062,236938
"246","female",2063,236938
"247","female",2064,236938
"248","female",2065,236938
"249","female",2066,236938
"250","female",2067,236938
"251","female",2068,236938
"252","female",2069,236938
"253","female",2070,236938
"254","female",2071,236938
"255","female",2072,236938
"256","female",2073,236938
"257","female",2074,236938
"258","female",2075,236938
"259","female",2076,236938
"260","female",2077,236938
"261","female",2078,236938
"262","female",2079,236938
"263","female",2080,236938
"264","female",2081,236938
"265","female",2082,236938
"266","female",2083,236938
"267","female",2084,236938
"268","female",2085,236938
"269","female",2086,236938
"270","female",2087,236938
"271","female",2088,236938
"272","female",2089,236938
"273","female",2090,236938
"274","female",2091,236938
"275","female",2092,236938
"276","female",2093,236938
"277","female",2094,236938
"278","female",2095,236938
"279","female",2096,236938
"280","female",2097,236938
"281","female",2098,236938
"282","female",2099,236938
"283","female",2100,236938
"284","female",2101,236938
"285","female",2102,236938
"286","female",2103,236938
"287","female",2104,236938
"288","female",2105,236938
"289","female",2106,236938
"290","female",2107,236938
"291","female",2108,236938
"292","female",2109,236938
"293","female",2110,236938
"294","female",2111,236938
"295","female",2112,236938
"296","female",2113,236938
"297","female",2114,236938
"298","female",2115,236938
"299","female",2116,236938
"300","female",2117,236938
